Transaction_ID,Customer_Age,Gender,Category,Total_Amount
TXN_1000,42.0,Male,Electronics,269.33
TXN_1001,42.0,Male,Clothing,228.77
TXN_1002,42.0,Male,Home,209.37
TXN_1003,42.0,Male,Books,286.43
TXN_1004,42.0,Male,Clothing,90.29
TXN_1005,42.0,Female,Home,103.24
TXN_1006,42.0,Male,Home,432.97
TXN_1007,42.0,Male,Books,473.87
TXN_1008,42.0,Male,Electronics,196.06
TXN_1009,42.0,Female,Electronics,146.31
TXN_1010,42.0,Female,Clothing,327.34
TXN_1011,42.0,Male,Books,213.24
TXN_1012,42.0,Female,Electronics,27.31
TXN_1013,42.0,Male,Books,90.73
TXN_1014,42.0,Male,Electronics,362.25
TXN_1015,42.0,Female,Home,334.58
TXN_1016,39.0,Male,Electronics,28.14
TXN_1017,19.0,Female,Books,122.66
TXN_1018,41.0,Female,Home,127.07
TXN_1019,61.0,Male,Home,340.87
TXN_1020,47.0,Male,Home,24.56
TXN_1021,55.0,Female,Books,65.49
TXN_1022,19.0,Male,Clothing,402.96
TXN_1023,38.0,Male,Clothing,101.59
TXN_1024,50.0,Male,Clothing,331.58
TXN_1025,29.0,Female,Books,130.52
TXN_1026,39.0,Female,Home,63.23
TXN_1027,61.0,Male,Clothing,132.94
TXN_1028,42.0,Female,Books,365.3
TXN_1029,44.0,Female,Clothing,430.01
TXN_1030,59.0,Female,Electronics,417.66
TXN_1031,45.0,Female,Clothing,207.63
TXN_1032,33.0,Female,Clothing,339.02
TXN_1033,32.0,Male,Home,114.42
TXN_1034,64.0,Male,Books,157.18
TXN_1035,61.0,Male,Home,449.72
TXN_1036,20.0,Female,Home,21.31
TXN_1037,54.0,Female,Home,56.47
TXN_1038,24.0,Male,Home,115.82
TXN_1039,38.0,Female,Home,27.87
TXN_1040,26.0,Male,Clothing,103.0
TXN_1041,56.0,Male,Home,297.78
TXN_1042,35.0,Male,Home,219.39
TXN_1043,21.0,Female,Books,447.95
TXN_1044,42.0,Female,Electronics,411.46
TXN_1045,31.0,Male,Clothing,180.78
TXN_1046,26.0,Male,Clothing,140.82
TXN_1047,43.0,Male,Clothing,199.15
TXN_1048,19.0,Male,Home,301.29
TXN_1049,37.0,Female,Home,145.01
TXN_1050,45.0,Female,Home,317.71
TXN_1051,64.0,Male,Books,213.56
TXN_1052,24.0,Male,Electronics,282.74
TXN_1053,61.0,Female,Home,226.52
TXN_1054,25.0,Female,Electronics,157.82
TXN_1055,64.0,Male,Books,475.0
TXN_1056,52.0,Male,Clothing,385.35
TXN_1057,31.0,Male,Home,82.95
TXN_1058,34.0,Female,Electronics,436.21
TXN_1059,53.0,Female,Electronics,251.4
TXN_1060,57.0,Female,Home,448.86
TXN_1061,21.0,Male,Clothing,402.93
TXN_1062,19.0,Male,Clothing,221.23
TXN_1063,23.0,Female,Clothing,25.9
TXN_1064,59.0,Female,Books,145.31
TXN_1065,21.0,Male,Electronics,277.69
TXN_1066,46.0,Female,Electronics,322.24
TXN_1067,35.0,Female,Electronics,140.08
TXN_1068,43.0,Male,Books,82.59
TXN_1069,61.0,Female,Electronics,419.94
TXN_1070,51.0,Male,Books,492.44
TXN_1071,27.0,Male,Clothing,269.96
TXN_1072,53.0,Male,Home,98.26
TXN_1073,31.0,Male,Electronics,147.07
TXN_1074,48.0,Male,Electronics,23.92
TXN_1075,32.0,Male,Clothing,458.43
TXN_1076,25.0,Male,Home,72.11
TXN_1077,31.0,Female,Books,294.61
TXN_1078,40.0,Male,Home,147.92
TXN_1079,57.0,Male,Clothing,283.78
TXN_1080,38.0,Female,Clothing,330.94
TXN_1081,33.0,Female,Home,417.42
TXN_1082,62.0,Female,Books,115.11
TXN_1083,35.0,Male,Books,20.33
TXN_1084,64.0,Female,Electronics,81.39
TXN_1085,41.0,Male,Books,451.51
TXN_1086,43.0,Male,Home,438.84
TXN_1087,42.0,Male,Clothing,304.75
TXN_1088,62.0,Male,Electronics,306.25
TXN_1089,58.0,Female,Electronics,337.54
TXN_1090,46.0,Female,Clothing,100.06
TXN_1091,32.0,Male,Books,458.49
TXN_1092,62.0,Male,Clothing,218.1
